grupo,posicion,equipo,pj,ganados,empatados,perdidos,gf,gc,dg,puntos
Group A,1,Mexico,1,1,0,0,2,0,2,3
Group A,2,South Korea,1,1,0,0,2,1,1,3
Group A,3,Czechia,1,0,0,1,1,2,-1,0
Group A,4,South Africa,1,0,0,1,0,2,-2,0
Group B,1,Switzerland,1,1,0,0,1,0,1,3
Group B,2,Bosnia-Herzegovina,1,0,1,0,1,1,0,1
Group B,2,Canada,1,0,1,0,1,1,0,1
Group B,4,Qatar,1,0,0,1,0,1,-1,0
Group C,1,Brazil,0,0,0,0,0,0,0,0
Group C,1,Haiti,0,0,0,0,0,0,0,0
Group C,1,Morocco,0,0,0,0,0,0,0,0
Group C,1,Scotland,0,0,0,0,0,0,0,0
Group D,1,United States,1,1,0,0,4,1,3,3
Group D,2,Australia,0,0,0,0,0,0,0,0
Group D,2,Turkey,0,0,0,0,0,0,0,0
Group D,4,Paraguay,1,0,0,1,1,4,-3,0
Group E,1,Curaçao,0,0,0,0,0,0,0,0
Group E,1,Germany,0,0,0,0,0,0,0,0
Group E,1,Ecuador,0,0,0,0,0,0,0,0
Group E,1,Ivory Coast,0,0,0,0,0,0,0,0
Group F,1,Japan,0,0,0,0,0,0,0,0
Group F,1,Netherlands,0,0,0,0,0,0,0,0
Group F,1,Sweden,0,0,0,0,0,0,0,0
Group F,1,Tunisia,0,0,0,0,0,0,0,0
Group G,1,Egypt,0,0,0,0,0,0,0,0
Group G,1,Belgium,0,0,0,0,0,0,0,0
Group G,1,Iran,0,0,0,0,0,0,0,0
Group G,1,New Zealand,0,0,0,0,0,0,0,0
Group H,1,Cape Verde Islands,0,0,0,0,0,0,0,0
Group H,1,Saudi Arabia,0,0,0,0,0,0,0,0
Group H,1,Spain,0,0,0,0,0,0,0,0
Group H,1,Uruguay,0,0,0,0,0,0,0,0
Group I,1,France,0,0,0,0,0,0,0,0
Group I,1,Iraq,0,0,0,0,0,0,0,0
Group I,1,Norway,0,0,0,0,0,0,0,0
Group I,1,Senegal,0,0,0,0,0,0,0,0
Group J,1,Algeria,0,0,0,0,0,0,0,0
Group J,1,Argentina,0,0,0,0,0,0,0,0
Group J,1,Jordan,0,0,0,0,0,0,0,0
Group J,1,Austria,0,0,0,0,0,0,0,0
Group K,1,Congo DR,0,0,0,0,0,0,0,0
Group K,1,Colombia,0,0,0,0,0,0,0,0
Group K,1,Portugal,0,0,0,0,0,0,0,0
Group K,1,Uzbekistan,0,0,0,0,0,0,0,0
Group L,1,England,0,0,0,0,0,0,0,0
Group L,1,Ghana,0,0,0,0,0,0,0,0
Group L,1,Croatia,0,0,0,0,0,0,0,0
Group L,1,Panama,0,0,0,0,0,0,0,0
